Price,Prod. year,Leather interior,Mileage,Cylinders,Gear box type,Drive wheels,Airbags
73620,2018,Yes,51106,4,Automatic,Front,4
51746,2019,No,4000,4,Automatic,Front,5
44134,2016,Yes,35398,4,Automatic,Front,4
13485,2015,No,67825,4,Automatic,Front,8
34406,2018,Yes,36470,4,Automatic,Front,4
14740,2015,Yes,50534,4,Automatic,Front,4
30740,2017,Yes,88400,4,Automatic,Front,4
52696,2017,Yes,44844,4,Automatic,Front,4
67404,2018,Yes,40808,4,Automatic,Front,4
74796,2019,Yes,12000,4,Automatic,Front,4
16151,2018,No,33548,4,Automatic,Front,8
45210,2017,Yes,16431,4,Automatic,Front,4
48873,2016,Yes,33555,4,Automatic,Front,4
33823,2017,Yes,80425,4,Automatic,Front,4
19444,2015,No,68221,4,Automatic,Front,6
20071,2016,Yes,27477,4,Automatic,Front,4
61471,2017,Yes,41018,4,Automatic,Front,4
40092,2016,Yes,82658,4,Automatic,Front,4
42692,2016,Yes,36000,4,Automatic,Front,4
15681,2015,Yes,53772,4,Automatic,Front,4
52853,2016,Yes,89454,4,Automatic,Front,4
34635,2019,Yes,2927,4,Automatic,Front,4
41578,2016,Yes,92888,4,Automatic,Front,4
34572,2015,Yes,67190,4,Automatic,Front,4
28225,2015,Yes,73931,4,Automatic,Front,0
18660,2016,Yes,29420,4,Automatic,Front,4
58172,2017,Yes,26166,4,Automatic,Front,4
53154,2016,Yes,80737,4,Automatic,Front,4
42337,2016,No,56000,4,Manual,Rear,4
45734,2016,Yes,61057,4,Automatic,Front,4
15367,2015,No,19000,4,Manual,Front,10
64463,2018,Yes,5187,4,Automatic,Front,4
24462,2017,Yes,70400,4,Automatic,Front,0
17562,2015,No,58190,4,Automatic,Front,6
40889,2015,Yes,29000,4,Automatic,Front,4
18503,2016,Yes,29864,4,Automatic,Front,4
39559,2015,Yes,89423,4,Automatic,Front,4
34889,2018,Yes,16125,4,Automatic,Front,4
42601,2017,Yes,17247,4,Automatic,Front,4
59464,2016,Yes,43877,4,Automatic,Front,4
10349,2015,Yes,53341,4,Automatic,Front,4
41281,2018,Yes,52349,4,Automatic,Front,4
29094,2016,Yes,54500,4,Automatic,Front,4
30906,2017,Yes,68000,4,Automatic,Front,4
32615,2016,Yes,20000,4,Automatic,Front,4
43868,2016,Yes,85134,4,Automatic,Front,4
64290,2016,Yes,33500,4,Automatic,4x4,0
20162,2015,Yes,14368,4,Automatic,Front,4
40769,2016,Yes,23216,4,Automatic,Front,4
29950,2016,Yes,50079,4,Automatic,Front,4
18189,2016,Yes,41370,4,Automatic,Front,4
17249,2015,No,37000,4,Automatic,Front,0
17249,2015,No,88830,4,Automatic,Front,0
36197,2017,Yes,65124,4,Automatic,Front,4
38260,2018,Yes,41068,4,Automatic,Front,10
20526,2015,Yes,75000,4,Automatic,Front,4
37633,2018,Yes,42246,4,Automatic,4x4,0
14583,2017,No,62971,4,Automatic,Front,8
69502,2018,Yes,75938,4,Automatic,Front,4
18346,2015,Yes,31880,4,Automatic,Front,4
39750,2016,Yes,72000,4,Automatic,Front,4
32929,2018,Yes,54865,4,Automatic,Front,4
5802,2018,Yes,54786,4,Automatic,Front,0
5018,2016,Yes,71218,4,Automatic,Front,0
50184,2017,Yes,31220,4,Automatic,Front,4
58495,2017,Yes,44534,4,Automatic,Front,4
30931,2018,Yes,35798,4,Automatic,Front,4
36401,2018,Yes,71551,4,Automatic,Front,4
15367,2015,Yes,50366,4,Automatic,Front,4
23436,2015,Yes,72645,4,Automatic,Front,4
12858,2015,Yes,93170,4,Automatic,4x4,0
20698,2015,No,78000,4,Manual,Front,10
23129,2016,Yes,87973,4,Automatic,Front,4
22197,2016,Yes,70000,4,Automatic,Front,4
27284,2019,No,1500,4,Automatic,Front,6
39085,2015,Yes,76550,4,Automatic,Front,4
17092,2017,No,33097,4,Automatic,Front,8
42337,2015,No,7520,8,Automatic,Front,8
36137,2018,Yes,47181,4,Automatic,Front,4
18346,2015,Yes,31891,4,Automatic,Front,4
45445,2017,Yes,65496,4,Automatic,Front,4
21285,2017,Yes,68415,4,Automatic,Front,4
22580,2016,Yes,62876,4,Automatic,Front,4
55528,2017,Yes,84315,4,Automatic,Front,4
45633,2015,Yes,59077,4,Automatic,Front,4
29323,2015,Yes,81142,4,Automatic,Front,4
54932,2016,Yes,42554,4,Automatic,Front,4
26971,2017,Yes,31694,4,Automatic,Front,10
21000,2019,Yes,6800,4,Automatic,Front,2
58338,2017,Yes,43420,4,Automatic,Front,4
57607,2017,Yes,15000,4,Automatic,Front,4
13799,2015,Yes,30258,4,Automatic,Front,4
17719,2017,No,0,4,Automatic,Front,0
41811,2017,Yes,92627,4,Automatic,Front,4
55515,2016,Yes,64691,4,Automatic,Front,4
27924,2018,Yes,53000,4,Automatic,Front,4
6272,2016,Yes,17584,8,Automatic,4x4,0
35839,2016,Yes,9756,4,Automatic,Front,4
21953,2016,Yes,94400,4,Automatic,4x4,0
21012,2017,Yes,75492,4,Automatic,Front,8
26657,2017,No,31006,4,Automatic,Front,10
49058,2016,Yes,73148,4,Automatic,Front,4
37066,2018,Yes,20388,4,Automatic,Front,4
21169,2017,No,41681,4,Automatic,Front,8
24462,2016,Yes,48935,4,Automatic,Front,10
42808,2018,Yes,24382,4,Automatic,Front,8
41811,2017,Yes,53811,4,Automatic,Front,4
4861,2015,Yes,49272,4,Automatic,Front,0
16891,2016,Yes,43840,4,Automatic,Front,4
51272,2016,Yes,42378,4,Automatic,Front,4
22894,2017,No,46800,4,Automatic,Front,6
38445,2016,Yes,54472,4,Automatic,Front,4
20698,2016,Yes,26729,4,Automatic,Front,4
20491,2016,Yes,50051,4,Automatic,Front,4
37580,2015,Yes,60000,4,Automatic,Front,4
25729,2017,Yes,56378,4,Automatic,Front,4
57842,2019,Yes,32724,4,Automatic,Front,4
17694,2017,Yes,69968,4,Automatic,Front,4
29633,2016,Yes,27243,4,Automatic,Front,4
47217,2017,Yes,39071,4,Automatic,Front,4
37000,2016,Yes,90000,4,Automatic,Front,4
37580,2016,Yes,99000,4,Automatic,Front,4
18000,2016,Yes,22000,4,Automatic,4x4,8
36166,2017,Yes,71400,4,Automatic,Front,4
34497,2015,Yes,78000,4,Automatic,Front,0
30038,2018,Yes,60000,4,Automatic,Front,4
45044,2017,Yes,95948,4,Automatic,Front,4
46101,2015,Yes,89600,6,Automatic,Rear,10
17719,2017,No,53895,4,Automatic,Front,8
26343,2016,Yes,27390,4,Automatic,Front,4
27598,2016,No,41000,4,Automatic,Front,8
49751,2015,Yes,24148,4,Automatic,Front,4
58579,2016,Yes,35000,4,Automatic,Front,4
21326,2015,Yes,79500,4,Automatic,Front,10
39515,2016,Yes,21683,4,Automatic,Front,4
17562,2017,No,44000,4,Automatic,Front,6
6272,2016,Yes,59099,6,Automatic,4x4,0
24273,2015,Yes,58052,4,Automatic,Front,4
23935,2015,Yes,23603,4,Automatic,Front,4
52959,2015,Yes,99106,4,Automatic,Front,4
9364,2015,Yes,53711,4,Automatic,Front,4
35344,2015,Yes,90660,4,Automatic,Front,4
31675,2017,Yes,46935,4,Automatic,Front,4
43868,2016,Yes,43300,4,Automatic,Front,4
39201,2016,Yes,48000,4,Automatic,4x4,0
55932,2018,Yes,50310,4,Automatic,Front,4
14113,2017,No,89620,4,Automatic,Front,8
39559,2015,Yes,99000,4,Automatic,Front,4
45633,2015,Yes,59077,4,Automatic,Front,4
39797,2016,Yes,97181,4,Automatic,Front,4
35908,2016,Yes,30177,4,Automatic,Front,4
18817,2016,No,74098,4,Automatic,Front,8
13172,2015,No,72000,4,Manual,Front,6
42987,2017,Yes,60013,4,Automatic,Front,4
30712,2017,Yes,50380,4,Automatic,Front,4
33076,2018,Yes,41523,4,Automatic,Front,4
18503,2016,Yes,33091,4,Automatic,Front,4
35902,2016,Yes,99821,4,Automatic,Front,4
34635,2019,Yes,2927,4,Automatic,Front,4
54346,2018,Yes,46503,4,Automatic,Front,4
6899,2015,Yes,90392,4,Automatic,4x4,0
16000,2018,No,0,4,Automatic,Front,2
50526,2017,Yes,41747,4,Automatic,Front,4
52106,2016,Yes,94638,4,Automatic,Front,4
27174,2015,Yes,69320,4,Automatic,Front,4
20918,2015,Yes,41250,4,Automatic,Front,4
27356,2016,Yes,65004,4,Automatic,Front,4
21790,2016,Yes,40598,4,Automatic,Front,4
65858,2019,Yes,7000,4,Automatic,Front,10
22266,2017,Yes,48432,4,Automatic,Front,4
6743,2016,Yes,71904,4,Automatic,Front,0
42987,2017,Yes,13148,4,Automatic,Front,4
27093,2016,Yes,51287,4,Automatic,Front,4
23678,2015,Yes,30000,4,Automatic,Front,4
37633,2017,No,79309,4,Automatic,Front,7
39615,2015,Yes,43578,4,Automatic,Front,4
21326,2015,Yes,14004,4,Automatic,Front,8
31361,2016,Yes,54400,4,Automatic,Front,8
41811,2017,Yes,33216,4,Automatic,Front,4
25889,2016,Yes,63276,4,Automatic,Front,4
22894,2017,No,46800,4,Automatic,Front,6
59006,2019,Yes,14000,4,Automatic,Front,4
21012,2018,Yes,20549,4,Automatic,Front,10
4704,2017,Yes,59331,6,Automatic,Rear,0
28539,2016,No,31000,4,Automatic,Front,8
18660,2016,Yes,28647,4,Automatic,Front,4
41281,2016,Yes,77000,4,Automatic,Front,4
42692,2017,Yes,29308,4,Automatic,Front,4
45044,2017,Yes,87810,4,Automatic,Front,4
53540,2016,Yes,62230,4,Automatic,Front,4
18189,2016,No,0,4,Automatic,Front,6
54850,2018,Yes,13048,4,Automatic,Front,4
67981,2019,Yes,10120,4,Automatic,Front,4
36137,2018,Yes,47181,4,Automatic,Front,4
20071,2016,Yes,72507,4,Automatic,Front,4
47694,2016,Yes,79000,4,Automatic,Front,4
33538,2016,Yes,49799,4,Automatic,Front,4
36065,2018,No,37214,4,Automatic,Front,10
16308,2015,No,73000,4,Automatic,4x4,0
49751,2017,Yes,43178,4,Automatic,Front,4
44542,2015,Yes,93876,4,Automatic,Front,4
15994,2015,Yes,39878,4,Automatic,Front,4
51523,2017,Yes,17013,4,Automatic,Front,4
64002,2018,Yes,41778,4,Automatic,Front,4
56513,2018,Yes,41500,4,Automatic,Front,4
53314,2018,Yes,6800,6,Automatic,Front,8
34102,2015,Yes,65000,4,Automatic,Front,4
57372,2015,Yes,48764,4,Automatic,Front,4
13642,2015,Yes,43000,4,Automatic,Front,4
25559,2015,No,64467,4,Automatic,4x4,8
18817,2016,No,91000,4,Manual,Front,6
45210,2017,Yes,93087,4,Automatic,Front,4
37837,2017,Yes,72052,4,Automatic,Front,4
72758,2016,Yes,50693,8,Automatic,4x4,10
31424,2015,Yes,31000,4,Automatic,Front,4
32973,2016,Yes,94300,4,Automatic,Front,4
16621,2018,No,12532,4,Automatic,Front,8
25032,2017,Yes,22607,4,Automatic,Front,4
49237,2015,Yes,45000,6,Automatic,Rear,6
56513,2018,Yes,61640,4,Automatic,Front,4
21796,2015,Yes,28633,4,Automatic,Front,4
40224,2016,Yes,62232,4,Automatic,Front,4
12500,2019,No,6000,4,Automatic,Front,2
25456,2015,Yes,45650,4,Automatic,Front,4
66197,2018,Yes,20930,4,Automatic,Front,4
61521,2018,Yes,14661,4,Automatic,Front,4
47042,2016,No,38400,6,Automatic,Front,6
60000,2017,Yes,20147,4,Automatic,Front,4
17227,2016,Yes,49068,4,Automatic,Front,4
39458,2017,Yes,72924,4,Automatic,Front,4
22580,2019,No,5124,4,Automatic,4x4,10
24148,2017,Yes,27067,4,Automatic,Front,4
20000,2019,No,3800,4,Automatic,4x4,4
25299,2016,Yes,79845,4,Automatic,Front,4
43868,2016,Yes,64841,4,Automatic,Front,4
13485,2015,Yes,91103,4,Automatic,Front,8
48610,2015,Yes,76000,4,Manual,4x4,4
54458,2016,Yes,49454,4,Automatic,Front,4
12388,2016,Yes,67429,4,Automatic,Front,0
19736,2016,Yes,37405,4,Automatic,Front,4
16559,2015,Yes,51678,4,Automatic,Front,4
47989,2017,Yes,65659,4,Automatic,Front,4
41867,2018,Yes,35039,4,Automatic,Front,4
15612,2015,Yes,97382,4,Automatic,Front,4
18503,2017,No,0,4,Automatic,Front,0
25889,2016,Yes,79420,4,Automatic,Front,4
38737,2015,Yes,93000,4,Automatic,Front,4
42538,2018,Yes,2000,4,Automatic,Front,4
4077,2017,Yes,39814,6,Automatic,Rear,0
73714,2019,Yes,43598,4,Automatic,Front,4
18817,2016,No,71191,4,Automatic,Front,7
35071,2016,Yes,80700,4,Automatic,Front,4
23659,2017,Yes,42642,4,Automatic,Front,4
20385,2015,No,78000,4,Manual,Front,8
40346,2016,Yes,10409,4,Automatic,Front,4
9722,2015,Yes,39232,4,Automatic,Front,4
30455,2015,Yes,35463,4,Automatic,Front,4
51517,2017,Yes,44198,4,Automatic,Front,4
32772,2016,Yes,30068,4,Automatic,Front,4
33575,2018,Yes,53871,4,Automatic,Front,4
15000,2015,Yes,39000,4,Automatic,Front,6
73034,2018,Yes,41895,4,Automatic,Front,4
13956,2015,Yes,34328,4,Automatic,Front,4
21953,2017,No,38400,4,Automatic,Front,6
47408,2018,Yes,33000,4,Automatic,Front,4
19444,2016,Yes,31117,4,Automatic,Front,4
32393,2016,Yes,59191,4,Automatic,Front,4
18660,2016,Yes,29703,4,Automatic,Front,4
20071,2016,Yes,30662,4,Automatic,Front,4
5018,2016,Yes,71218,4,Automatic,Front,0
29777,2015,Yes,61298,4,Automatic,Front,4
22110,2016,Yes,28123,4,Automatic,Front,4
17249,2016,No,56000,4,Automatic,Front,8
20855,2017,Yes,18942,4,Automatic,Front,8
27946,2016,Yes,55446,4,Automatic,Front,4
63826,2019,Yes,9101,4,Automatic,Front,4
21253,2015,Yes,81200,4,Automatic,Front,4
18033,2015,Yes,35336,4,Automatic,Front,4
35908,2015,Yes,61297,4,Automatic,Front,4
38445,2015,Yes,70745,4,Automatic,Front,4
26030,2017,Yes,52062,4,Automatic,Front,0
26814,2016,Yes,33371,4,Automatic,Front,10
35269,2017,Yes,77721,4,Automatic,Front,4
48261,2016,Yes,22601,4,Automatic,Front,4
54697,2016,Yes,59066,4,Automatic,Front,4
39201,2016,Yes,51787,4,Automatic,Front,4
13328,2017,Yes,44642,6,Automatic,4x4,0
16935,2015,Yes,71454,4,Automatic,Front,0
48575,2015,Yes,87196,4,Automatic,Front,4
53154,2016,Yes,99000,4,Automatic,Front,4
27654,2015,Yes,33355,4,Automatic,Front,4
61816,2016,Yes,17320,4,Automatic,Front,4
57428,2017,Yes,73324,4,Automatic,Front,4
61521,2017,Yes,65689,4,Automatic,Front,4
26720,2019,Yes,2336,4,Automatic,Front,4
18346,2016,No,91380,4,Automatic,Front,8
32929,2018,Yes,54865,4,Automatic,Front,4
75793,2019,Yes,21680,4,Automatic,Front,4
29087,2016,Yes,50509,4,Automatic,Front,4
39750,2016,Yes,68942,4,Automatic,Front,4
23521,2015,No,0,4,Automatic,4x4,0
29144,2016,Yes,42765,4,Automatic,Front,4
42987,2017,Yes,85532,4,Automatic,Front,4
42692,2016,Yes,24846,4,Automatic,Front,4
37476,2016,Yes,24526,4,Automatic,Front,4
47537,2017,Yes,93720,4,Automatic,Front,4
27654,2015,Yes,11261,4,Automatic,Front,4
14426,2015,Yes,64032,4,Automatic,Front,4
4704,2017,Yes,59331,6,Automatic,Rear,0
28225,2016,No,70500,4,Automatic,Front,8
53282,2017,Yes,37844,4,Automatic,Front,4
56845,2017,Yes,88000,4,Automatic,Front,4
22580,2016,Yes,52000,4,Automatic,Front,0
6743,2016,Yes,71904,4,Automatic,Front,0
30602,2016,Yes,16714,4,Automatic,Front,4
44134,2016,Yes,56150,4,Automatic,Front,4
32929,2018,Yes,54865,4,Automatic,Front,4
41654,2016,Yes,41000,4,Automatic,Front,4
30326,2016,Yes,40877,4,Automatic,Front,4
53188,2018,Yes,47692,4,Automatic,Front,4
5018,2016,Yes,71218,4,Automatic,Front,0
45825,2018,Yes,9942,4,Automatic,Front,4
13799,2016,No,96877,4,Automatic,Front,8
20385,2017,No,89000,4,Automatic,Front,6
46866,2015,Yes,24696,4,Automatic,Front,4
21953,2015,No,67200,4,Automatic,Front,8
31361,2015,Yes,48000,4,Automatic,Front,6
34877,2016,Yes,70220,4,Automatic,Front,4
19444,2016,Yes,47453,4,Automatic,4x4,10
31581,2018,Yes,52000,4,Automatic,Front,4
57108,2016,Yes,55510,4,Automatic,Front,4
42717,2017,Yes,72040,4,Automatic,Front,4
37066,2016,Yes,91804,4,Automatic,Front,4
65040,2018,Yes,26501,4,Automatic,Front,4
38311,2017,Yes,31139,4,Automatic,Front,4
6899,2015,Yes,90392,4,Automatic,4x4,0
15524,2017,No,94000,4,Manual,Front,1
35610,2017,Yes,81348,4,Automatic,Front,4
44247,2016,Yes,51831,4,Automatic,Front,4
11133,2015,Yes,99542,4,Automatic,4x4,0
50341,2016,Yes,36215,4,Automatic,Front,4
39891,2015,Yes,80687,4,Automatic,Front,4
54167,2017,Yes,34900,4,Automatic,Front,4
47205,2018,Yes,46764,4,Automatic,Front,4
15000,2015,No,42000,4,Automatic,Front,6
40092,2015,Yes,87704,4,Automatic,Front,4
14740,2018,No,0,4,Automatic,Front,0
43868,2017,Yes,81665,4,Automatic,Front,4
16308,2016,No,91000,4,Manual,Front,2
28015,2017,Yes,85000,4,Automatic,Front,4
37062,2015,Yes,88392,4,Automatic,Front,4
15273,2017,Yes,86658,4,Automatic,Front,4
21796,2017,Yes,27992,4,Automatic,Front,4
18189,2015,No,21000,4,Manual,Front,10
52696,2017,Yes,93000,4,Automatic,Front,4
56509,2018,Yes,26134,4,Automatic,Front,4
66815,2018,Yes,40808,4,Automatic,Front,4
64463,2018,Yes,25255,4,Automatic,Front,4
66482,2017,Yes,19539,4,Automatic,Front,4
23207,2015,No,14500,4,Automatic,Rear,10
45633,2016,Yes,23739,4,Automatic,Front,4
9565,2015,Yes,32000,4,Automatic,Front,4
49293,2017,Yes,39747,4,Automatic,Front,4
45210,2017,Yes,69088,4,Automatic,Front,4
6899,2015,Yes,90392,4,Automatic,4x4,0
50018,2017,Yes,61600,4,Automatic,Front,4
22291,2018,Yes,5987,4,Automatic,Front,4
35328,2017,Yes,67668,4,Automatic,Front,4
46621,2015,Yes,90000,4,Automatic,Front,4
48202,2016,Yes,34000,4,Automatic,Front,4
47989,2015,Yes,81163,4,Automatic,Front,4
10349,2015,Yes,86280,4,Automatic,Front,4
54167,2016,Yes,82907,4,Automatic,Front,4
22894,2017,No,46800,4,Automatic,Front,6
42845,2015,Yes,16285,4,Automatic,Front,4
17249,2015,Yes,70000,4,Automatic,Front,4
22840,2015,Yes,91751,4,Automatic,Front,4
42400,2016,Yes,57793,4,Automatic,Front,4
9722,2015,Yes,93170,4,Automatic,4x4,0
38888,2018,No,62347,4,Automatic,Front,10
13642,2015,Yes,43000,4,Automatic,Front,4
15336,2015,Yes,37509,4,Automatic,Front,4
49751,2016,Yes,25970,4,Automatic,Front,4
9879,2015,Yes,52000,4,Automatic,Front,4
43880,2016,Yes,99881,4,Automatic,Front,4
37238,2015,Yes,37606,4,Automatic,Front,4
6275,2015,Yes,80746,4,Automatic,Front,4
36564,2016,Yes,47090,4,Automatic,Front,4
9722,2015,Yes,93170,4,Automatic,4x4,0
62697,2018,Yes,32000,4,Automatic,Front,4
33556,2017,No,90652,4,Automatic,Front,10
24932,2017,No,15052,4,Automatic,4x4,9
65052,2018,Yes,27448,4,Automatic,Front,4
19130,2016,Yes,49499,6,Automatic,4x4,0
4077,2017,Yes,39814,6,Automatic,Rear,0
21950,2018,Yes,18283,4,Automatic,4x4,10
78829,2018,Yes,2000,4,Automatic,Front,4
37066,2016,Yes,91804,4,Automatic,Front,4
23301,2016,Yes,31045,4,Automatic,Front,4
17038,2015,Yes,43457,4,Automatic,Front,4
37006,2017,No,39000,4,Manual,Front,4
44047,2015,Yes,62137,4,Automatic,Front,4
20382,2015,Yes,36223,4,Automatic,Front,4
17249,2015,Yes,91200,4,Automatic,Front,6
47042,2019,No,2565,4,Automatic,4x4,8
13642,2015,Yes,31892,4,Automatic,Front,4
10663,2015,Yes,81058,4,Automatic,4x4,0
27654,2015,Yes,87521,4,Automatic,Front,4
11604,2016,Yes,30901,4,Automatic,Front,4
10976,2017,No,64765,4,Automatic,Front,6
51689,2017,Yes,41551,4,Automatic,Front,4
22894,2016,No,36500,4,Automatic,Front,6
21639,2017,Yes,33005,4,Automatic,Front,4
16935,2015,Yes,71454,4,Automatic,Front,0
38737,2015,Yes,93000,4,Automatic,Front,4
49751,2016,Yes,17996,4,Automatic,Front,4
18660,2015,Yes,33985,4,Automatic,Front,4
57698,2015,Yes,32170,4,Automatic,Front,4
44134,2016,Yes,62621,4,Automatic,Front,4
26657,2017,No,70000,4,Automatic,Front,6
44166,2016,Yes,45220,4,Automatic,Front,4
21683,2018,Yes,10970,4,Automatic,Front,4
25716,2016,Yes,57491,4,Automatic,Front,4
20228,2016,Yes,25077,4,Automatic,Front,8
69502,2018,Yes,28750,4,Automatic,Front,4
6272,2015,No,93500,4,Automatic,Front,10
40183,2016,Yes,92003,4,Automatic,Front,4
40000,2016,No,70400,4,Automatic,4x4,10
18503,2016,Yes,29864,4,Automatic,Front,4
59827,2019,Yes,8115,4,Automatic,Front,4
18503,2016,Yes,31151,4,Automatic,Front,4
12231,2015,No,1000,4,Automatic,Front,2
17249,2016,No,43000,4,Automatic,Front,10
40901,2017,Yes,71908,4,Automatic,Front,4
31819,2015,Yes,44272,4,Automatic,Front,4
16935,2015,Yes,71454,4,Automatic,Front,0
41547,2017,Yes,50000,4,Automatic,Front,4
41547,2015,Yes,68515,4,Automatic,Front,4
20228,2016,Yes,26432,4,Automatic,Front,4
27065,2016,Yes,71000,4,Automatic,Front,4
42337,2017,Yes,29853,4,Automatic,Front,4
18033,2015,Yes,39077,4,Automatic,Front,4
63152,2017,Yes,7176,4,Automatic,Front,4
54186,2016,Yes,95131,4,Automatic,Front,4
54807,2016,Yes,59000,4,Automatic,Front,4
38060,2016,Yes,71826,4,Automatic,Front,4
33494,2015,Yes,29000,4,Automatic,Front,4
29950,2018,Yes,9410,4,Automatic,Front,9
67404,2015,Yes,43628,4,Automatic,Front,4
16935,2015,No,0,4,Automatic,Front,0
40092,2016,Yes,72073,4,Automatic,Front,4
68223,2018,Yes,27406,4,Automatic,Front,4
42102,2016,Yes,89836,4,Automatic,Front,4
38182,2015,Yes,60539,4,Automatic,Front,4
71647,2019,Yes,47778,4,Automatic,Front,4
22110,2015,Yes,61230,4,Automatic,4x4,10
44533,2016,Yes,33705,4,Automatic,Front,4
23659,2017,Yes,49000,4,Automatic,Front,4
40954,2017,Yes,6589,4,Automatic,Front,4
19736,2016,Yes,37405,4,Automatic,Front,4
19601,2015,Yes,35607,4,Automatic,Front,4
54822,2017,Yes,28899,4,Automatic,Front,4
26770,2015,Yes,97896,4,Automatic,Front,4
